school_id,name
1836,"ООО ""Триумф"""
1836,"Москва, СК ""Триумф"""
610,"СШОР ""Надежда Губернии"
610,"Саратовская область, ГБУСО ""СШОР ""Надежда Губернии"""
609,"""СШ ""Гвоздика"""
304,СШ по ЗВС
304,"Пензенская область, СШ по ЗВС"
304,"Пензенская область, МБУ ДО ""СШ по зимним видам спорта"""
303,"ООО ""СетПоинт"""
303,"Москва, ООО ""Сетпоинт"""
302,СШ №2
301,"МБУ ""ЦФКиС г. Лобня"" "
300,"Рязанская область, ХК ""Рязань-ВДВ"""
300,"ГАУ РО ""ХК ""Рязань-ВДВ"""
299,"РФСОО ""ФФККРК"""
298,"АНО СК ""ЮНАРМЕЙЦЫ"""
298,"Севастополь, СК ""ЮНАРМЕЙЦЫ Севастополя"""
297,"ЧУДО ДЮСОШ ""СИЯНИЕ"" "
296,"МБОУ ДО СШ №8 ""Локомотив"", "
296,"МБОУ ДО СШ №8 ""Локомотив"", Свердловская область"
295,ГУ ТО ОКСШОР
294,"ГБУ ""МосСпортОбъект"" ЛЦ ""Звезда"""
294,"Москва, ГБУ ""МосСпортОбъект"" ЛЦ ""Звезда"""
293,АНО Лига фигурного катания
293,"Москва, АНО Лига фигурного катания"
292,АНО ШФК
292,"Республика Башкортостан, АНО ШФК"
291,"Динамит, Санкт-Петербург"
287,"Москва, ИП Черникова Наталья Александровна"
284,"МО Коломяги, ООО «Глайд»"
282,Филиал ФАУ МО РФ ЦСКА (СКА Санкт-Петербург)
280,"Энергия льда, Санкт-Петербург"
279,"МО Прометей, КФК «Созвездие Айс»"
278,"СФК ""Империя льда"""
277,"КФК ""Динамо-Санкт-Петербург"""
277,"НП ""КФК ""Динамо-Санкт-Петербург"""
276,"МО Ломоносовский, ООО «ЦФК Т.Волосожар Северная столица»"
276,"МО Автово, ООО «ЦФК Т.Волосожар Северная столица»"
275,"МО город Колпино, ООО Ледовая история"
275,"МО Светлановское, ООО «Ледовая история»"
274,"""Голден Айс Петергоф"" (ГБУ СШ ""Манеж"")"
274,Голден айс Петергоф (ГБУ СШ «Манеж»)
267,"Ямало-Ненецкий АО, ГАУ ЯНАО СШ Ямал"
267,"ЯНАО, СШ ""Ямал"""
267,"Ямало-Ненецкий АО, ГАУ ДО ЯНАО ""СШ ""Ямал"""
267,"ЯНАО, СШ Ямал"
267,"ЯНАО, ГАУ ЯНАО «СШ «Ямал»"
267,"ЯНАО, ГАУ ДО ЯНАО СШ ""Ямал"""
266,"Чувашская Республика, АНО СШФКК ""Юность"""
266,"Чувашская республика, СШ ФКК ""Юность"""
265,"ХМАО-Югра, СШ ""Юность"""
265,"Ханты-Мансийский автономный округ-Югра,МАУ ДО ""СШ ""Юность"""
265,"Ханты-Мансийский АО, МАУ ДО ""СШ ""Юность"""
264,"Свердловская область, МБУ СШ Юность"
264,"Свердловская область, МБУ СШ ""Юность"""
264,Свердловская обл./г. Екатеринбург/ МБОУ ДО СШОР Юность
264,"Свердловская область, СШ ""Юность"""
264,"Свердловская область, СШ Юность"
264,"Свердловская обл., МБОУ ДО СШОР ""Юность"""
263,"Мурманская область, МАУ СШ ""Юность"""
263,"МАУДО СШ ""Юность"" г. Апатиты, Мурманская область"
262,"Москва, ОФК ""Южный Лед"""
261,"Челябинская область, КФК ""Южное сияние"""
260,"Свердловская область, МАУ СШ ""Энергия"", г. Екатеринбург"
260,"Свердловская область, МАУ ""СШ ""Энергия"""
259,КФК Чемпион
259,"АНО ФСО КФК ""Чемпион"""
259,"МО Финляндский, АНО ФСО КФК «Чемпион»"
259,"МО Финляндский, АНО ФСО ""Чемпион"""
259,"МО Финляндский, Чемпион"
258,"Набережные челны, МБУ ""СШ ""Челны"""
257,Центр ФКСиЗ Фрунзенского района
257,"Санкт-Петрбург, ЦФКСиЗ Фрунзенского р-на СПб"
257,"СПБ ГБУ ""Центр ФКСиЗ Фрунз. р-на"""
257,ГБУ Центр ФКСиЗ Фрунзенского р-на
257,"СПБ ГБУ ""Центр ФКСиЗ Фрунз. р-на"
257,ЦФКСиЗ Фрунзенского р-на
257,"МО 72-й округ, ЦФКСиЗ Фрунзенского района"
257,"СПб ГБУ ""ЦФКСиЗ Фрунзенского р-на"""
257,"СПб ГБУ ""ЦФКиЗ Фрунзенского р-на"", Санкт-Петербург"
256,ГБУ ЦФКСиЗ Московского района
256,"""ЦФКСиЗ"" Московского р-на"""
256,"ГБУ ДЮЦ ""ЦФКСиЗ"" Московского района"
256,"ГБУ ДЮЦ Московского района ""ЦФКСиЗ"""
256,ГБУ ДЮЦ «ЦФКСиЗ» Московского района
256,"МО Гагаринский, ГБУ ДЮЦ Московского р-на «ЦФКСиЗ»"
256,ЦФК Московского района
256,"МО Гагаринское, ГБУ ЦФКСиЗ Московский район"
254,"СПб ГБУ ""ЦФКСиЗ ВО"""
254,СПб ГБУ ЦФКСиЗ ВО
254,ЦФКСиЗ ВО
254,ГБУ ЦФКСиЗ ВО
254,"СПб ГБУ ""ЦФКСиЗ Василеостровского района"""
254,СПб ГБУ «ЦФКСиЗ Василеостровского района»
254,"МО Гавань, ЦФКСиЗ Василеостровского района"
254,"СПб ГБУ ""ЦФКСиЗ Василеостровского р-на"""
253,ЦФиЗ Красногвардейского р-на
253,ГБУ ЦФиЗ Красногвардейского района
253,"МО Полюстрово, ГБОУ ДОД ЦФКиЗ Красногвардейского р-на"
253,"ГБОУ ДОД ""ЦФиЗ"" Красногвардейского района"
253,ГБОУ ДОД «ЦФиЗ» Красногвардейского района
253,"МО Ржевка, ГБОУ ДОД ""Центр ФиЗ"" Красногвардейского р-на"
253,"МО Ржевка, ГБОУ ДОД Центр «ФиЗ» Красногвардейского района"
252,"Москва, СШОР ЦСКА им. С.А. Жука"
252,"Москва, ФАУ МО РФ ЦСКА СШОР им. С.А. Жука"
252,"Москва, СШОР им. С.А. Жука"
251,"ФАУ МО РФ ЦСКА, г. Москва"
251,"г.Москва, ФАУ МО РФ ЦСКА"
251,"г. Москва, ФАУ МО РФ ЦСКА"
251,"Москва, ФАУ МО РФ ЦСКА"
249,"МАУ СШ ЦЗВС, Новосибирская обл."
249,"Новосибирская область, СШ ""ЦЗВС"""
249,"Новосибирская обл., МАУ СШ ""ЦЗВС"""
249,"Новосибирская обл., МАУДО СШ ""ЦЗВС"", г.Новосибирск"
249,"Новосибирская обл., МАУДО СШ ""ЦЗВС"""
248,"Московская область, Центр спортивных технологий"
248,"Московская область, ООО ""Центр спортивных технологий"""
246,"СШ Центр по ЛВС, Красноярский край"
246,"Красноярский край, СШ ""Центр по ЛВС"""
246,"Красноярский край, СШ ЦпЛВС"
246,"Красноярский край, КГАУ ""СШ ""Центр по ЛВС"""
246,"Красноярский край, КГАУ ДО ""СШ ""Центр по ЛВС"""
246,"Красноярский край, КГАУДО ""СШ ""Центр по ЛВС"""
245,"Воронежская область, ДЮСШ ""Хрустальный конек"""
244,"г. Москва, ГБУ ДО ""Московская академия ФК на коньках""Хруста"
244,"Москва, ГБУ ДО ""Академия ФК на коньках"" отд. ""Хрустальный"""
244,"Москва-Респ. Татарстан, ЦСП МДМиС РТ-МАФК школа ""Хрустальный"
244,"Москва, ГБУ ДО ""Хрустальный"""
244,"г.Москва, ГБУ ДО МАФК, Школа Хрустальный"
244,"г. Москва, ГБУ ДО ""МАФКК"" Хрустальный"
244,"Москва, МАФКК школа ""Хрустальный"""
244,"Москва, ГБУ ""Московская академия ФКК"" Хрустальный"""
244,"Москва, ГБУ """"Московская академия ФКК"""" Хрустальный"""
244,"Москва, МАФК школа ""Хрустальный"""
244,г. Москва/ МАФКК Хрустальный
244,"ГБУ МАФКК Хрустальный, г. Москва"
244,"ГБУ ДО МАФК, школа Хрустальный"
244,"Москва, ГБУ ДО МАФКК школа ""Хрустальный"""
244,"Москва, ГБУ ДО МАФКК, ""Хрустальный"""
244,"Москва, ГБУ ДО ""МА фкк, школа ""Хрустальный"""
243,"Сахалинская обл., МБУ СШ ""Холмск-Арена"""
242,"Ставропольский край, ФФККСК"
241,"Владимирская область, ОО ""ФФККВО"""
240,"СШ Ямал, ЯНАО"
239,"Республика Коми, РФСОО ФФКК РК"
239,Республика Коми/г. Ухта/ РФСОО ФФКК РК
239,"Республика Коми, РФСОО ""ФФКК РК"""
238,"ХМАО-Югра, РОО ХМАО-Югры ""ФФКК"""
237,"Республика Карелия, РОО ""ФФКК"""
236,"Ставропольский край, ФФК СК"
235,"Республика Башкортостан, г. Уфа, ФФК РБ"
235,"ФФК РБ, Республика Башкортостан"
235,"Республика Башкортостан, ФФК РБ"
235,"Республика Башкортостан, ФФК РБ, Уфа"
234,"Тверская область, СШ ""ФФК"""
233,"Нижегородская область, ГАУ НО ""ФОК в г. Городец ННО"
233,"Нижегородская область, ГАУ НО ""ФОК в г.Городец"""
232,"Тверская бласть, СШ ""ФКК"", г. Тверь"
231,"Калининградская область, РОО ""Федерация фигурного катания на"
229,АНФСО КФК Фаворит
228,"Удмуртская республика, РСОО ""УФФК"""
228,"Удмуртская Республика, РСОО ""УФФК"""
228,"Удмуртская Республика, УФФК"
228,"Удмуртская республика, РСОО ""УФФК"" г. Ижевск"
227,"Московская область, ГБПОУ МО ""УОР № 1"""
227,"ГБПОУ МО ОУР №1, Московская область"
227,"Московская область, ГБПОУ МО УОР №1"
227,"Московская область, УОР №1"
227,"Московская область, ГБПОУ МО ""УОР №1"""
227,ГБПОУ МО УОР №1
226,"Челябинская область, МАУ ""ЛА ""Южный Урал"""
225,"СК Триумф, Пермский край"
224,"Челябинская область, МБУ СШОР Тодес"
224,"Челябинская область, МБУ СШОР ""Тодес"""
224,"Челябинская область, СШОР ""Тодес"""
224,"Челябинская обл., МБУ СШОР ""Тодес"" г.Челябинск"
224,"Челябинская область, МБУ ДО ""СШОР ""Тодес"""
224,"МБУ СШОР ""Тодес"" г.Челябинска"
224,МБУ СШОР «Тодес» г.Челябинска
223,"ООО ""КФК ""ТИТУЛ"""
223,"Санкт-Петербург, ООО КФК ""ТИТУЛ"""
223,ООО Титул
223,"ООО ""ТИТУЛ"""
223,"Санкт-Петербург, ООО """"КФК """"ТИТУЛ"""""
223,"ООО ""Титул"""
223,ООО «Титул»
223,КФК «Титул»
222,"Темпо, Санкт-Петербург"
222,СФК Темпо
221,"Тамбовская область, СШОР №3"
217,Рязанская область
216,"Ростовская область, СШОР №6"
216,"ГБУ РО СШОР№ 6, Ростовская область"
216,"Ростовская область, ГБУ РО ""СШОР 6"""
216,"Ростовская область, ГБУ ДО РО ""СШОР №6"""
216,"ГБУ ДО РО СШОР 6, Ростовская область"
215,"Ярославская область, СШОР №4"
215,Ярославская обл./г. Ярославль/ МУ СШОР №4
215,МУ СШОР№4 г. Ярославль
215,"Ярославская область, СШОР № 4"
215,"Ярославская область, МУ СШОР №4"
214,"Чувашская Республика, БУ ""СШОР No 4"""
213,"р. Чувашия, БУ ""СШОР № 4"" Минспорт"
213,"Новочебоксарск, БУ ""СШОР №4"" Минспорта ЧР"
212,"Омская область, БУ СШОР №35"
212,"СШОР № 35, Омская область"
212,"Омская область, СШОР №35"
212,"Омская область, СШОР № 35"
212,"Омская область, БУ ""СШОР № 35"""
212,"Омская область, СШОР 35"
212,"БУ г.Омска СШОР № 35, Омская обл."
212,"Омская обл., БУ г.Омска ""СШОР № 35"""
212,"Омская обл., БУ ДО ""СШОР № 35"""
212,"Омская область, БУ ДО г.Омска ""СШОР №35"","
212,"БУ города Омска «СШОР № 35», г. Омск"
212,"Омская область, БУ ДО г.Омска «СШОР №35»,"
212,"Омская обл., БУ ДО г.Омска ""СШОР № 35"""
212,"Омская область, БУ ДО г. Омска ""СШОР № 35"""
211,"Москва, Спортивная школа олимпийского резерва №2"
211,"Москва, ГБУ ""СШОР №2"" Москомспорта"
210,"Курганская область, СШОР №2"
209,"ГБУ СШОР № 2, Забайкальский край"
209,"Забайкальский край, ГБУ ДО СШОР 2"
209,"Забайкальский край, ГБУ СШОР 2"
208,ГБУ СШОР№1 Московского района
208,ГБУ СШОР №1 Московского р-на
207,"Курганская область, СШОР №1"
206,"Самарская область, ГАУ ДО СО ""СШОР №1"""
206,"Самарская область, ГАУ СШОР №1"
206,"Самарская область, ГАУ ""СШОР No 1"""
206,"Самарская область, ГАУ ""СШОР №1"""
206,"Самарская область,г.Самара, ГАУ ДО СО ""СШОР №1"""
206,"СШОР №1, Самарская область"
206,"ГАУ СШОР №1, Самарская область"
206,"Самарская область, СШОР №1"
206,"Самарская область, ГАУ ДО СО СШОР №1"
206,"Самарская обл., ГАУ ДО СО ""СШОР №1"""
205,"Республика Башкортостан,г.Уфа, МБУ СШОР №1"
205,"Республика Башкортостан, СШОР № 1"
205,"Республика Башкортостан, МБУ СШОР No 1"
205,"Республика Башкортостан, СШОР №1"
205,"Республика Башкортостан, МБУ ДО ""СШОР №1"""
203,"СШОР № 1, Оренбургская область"
203,"Оребургская область, ГАУ СШОР №1"
203,"ГАУ СШОР №1, Оренбургская область"
203,"Оренбургская область, СШОР №1"
203,"Оренбургская область, ГАУ ""СШОР No 1"""
203,"Оренбургская область, ГАУ ""СШОР №1"" г. Оренбург"
203,"Оренбургская область, г.Оренбург, ГАУ ""СШОР №1"""
203,"Оренбургская обл., г.Оренбург, ГАУ ДО ""СШОР №1"""
203,"Оренбургская область, ГАУ ДО ""СШОР №1"""
203,"Оренбургская область, ДЮСШ с/к ""Юбилейный"""
202,"Республика Мордовия ГБУ РМ ""СШОР по ФФК"""
201,"Республика Татарстан, РСШОР по ФКиШТ"
201,"Республика Татарстан, СШОР по ФККиШТ"
201,"Республика Татарстан, ГБУ РСШОР по ФККШТ"
201,"Республика Татарстан, ГБУ РСШОР по ФФК и ШТ"
201,"Республика Татарстан,ГБУ ДО РСШОР по ФККиШТ"
